"Query ID","Tree","Tax Rank","Phylum","Class","Order","Family","Subfamily","Tribe","Genus","Species","Confidence","Supporting Recs"
"P1_A_10_all.fa;658;6;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladiinae","","Eukiefferiella","Eukiefferiella claripennis","100.0","25"
"P1_C_12_all.fa;658;8;ambs=1;estgaps=1"," Tree","SPECIES","Arthropoda","Insecta","Coleoptera","Dytiscidae","Laccophilinae","","Laccophilus","Laccophilus hyalinus","100.0","25"
"P1_D_9_all.fa;658;25;ambs=0;estgaps=0"," Tree","GENUS","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladiinae","","Thienemanniella","","100.0","25"
"P1_G_6_all.fa;658;25;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladiinae","","Prodiamesa","Prodiamesa olivacea","100.0","25"
"P1_H_6_all.fa;658;25;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladiinae","","Prodiamesa","Prodiamesa olivacea","100.0","25"
"P2_B_11_all.fa;658;25;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Insecta","Hemiptera","Aphididae","Aphidinae","","Rhopalomyzus","Rhopalomyzus lonicerae","100.0","25"
"P2_B_1_all.fa;658;25;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Insecta","Coleoptera","Dytiscidae","Hydroporinae","","Hyphydrus","Hyphydrus ovatus","100.0","25"
"P2_B_2_all.fa;658;25;ambs=0;estgaps=0"," Tree","GENUS","Arthropoda","Insecta","Hemiptera","Notonectidae","Notonectinae","","Notonecta","","100.0","25"
"P2_B_7_all.fa;658;25;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Malacostraca","Isopoda","Asellidae","","","Asellus","Asellus aquaticus","100.0","25"
"P2_C_2_all.fa;658;25;ambs=0;estgaps=0"," Tree","GENUS","Arthropoda","Insecta","Hemiptera","Notonectidae","Notonectinae","","Notonecta","","100.0","25"
"P2_C_4_all.fa;658;23;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Insecta","Diptera","Chironomidae","Chironominae","","Parachironomus","Parachironomus gracilior","100.0","25"
"P2_C_7_all.fa;658;25;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Insecta","Diptera","Chironomidae","Chironominae","","Paratanytarsus","Paratanytarsus inopertus","100.0","25"
"P2_D_10_all.fa;658;50;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Insecta","Hemiptera","Aphididae","Aphidinae","","Hyalopterus","Hyalopterus pruni","100.0","25"
"P2_D_1_all.fa;658;25;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Malacostraca","Isopoda","Asellidae","","","Asellus","Asellus aquaticus","100.0","25"
"P2_D_2_all.fa;658;25;ambs=0;estgaps=0"," Tree","GENUS","Arthropoda","Insecta","Hemiptera","Notonectidae","Notonectinae","","Notonecta","","100.0","25"
"P2_D_5_all.fa;658;29;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Insecta","Hemiptera","Aphididae","Aphidinae","","Hyalopterus","Hyalopterus pruni","100.0","25"
"P2_E_12_all.fa;658;25;ambs=0;estgaps=0"," Tree","GENUS","Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmicinae","","Tetramorium","","100.0","25"
"P2_E_2_all.fa;658;25;ambs=0;estgaps=0"," Tree","GENUS","Arthropoda","Insecta","Hemiptera","Notonectidae","Notonectinae","","Notonecta","","100.0","25"
"P2_F_2_all.fa;658;25;ambs=0;estgaps=0"," Tree","GENUS","Arthropoda","Insecta","Hemiptera","Notonectidae","Notonectinae","","Notonecta","","100.0","25"
"P2_G_10_all.fa;658;25;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Insecta","Hemiptera","Aphididae","Aphidinae","","Hyalopterus","Hyalopterus pruni","100.0","25"
"P2_G_12_all.fa;658;25;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Malacostraca","Isopoda","Asellidae","","","Asellus","Asellus aquaticus","100.0","25"
"P2_H_12_all.fa;658;25;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Malacostraca","Isopoda","Asellidae","","","Asellus","Asellus aquaticus","100.0","25"
"P2_H_6_all.fa;658;25;ambs=0;estgaps=0"," Tree","GENUS","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","","Culex","","100.0","25"
"P3_A_4_all.fa;658;25;ambs=0;estgaps=0"," Tree","SPECIES","Arthropoda","Insecta","Diptera","Ephydridae","Hydrelliinae","","Hydrellia","Hydrellia maura","100.0","25"
"P3_B_6_all.fa;658;25;ambs=0;estgaps=0"," Tree","GENUS","Arthropoda","Branchiopoda","Anomopoda","Daphniidae","","","Simocephalus","","100.0","25"
"P3_C_7_all.fa;658;25;ambs=0;estgaps=0"," Tree","SPECIES","Annelida","Clitellata","Arhynchobdellida","Erpobdellidae","Erpobdellinae","","Erpobdella","Erpobdella octoculata","100.0","25"
