CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.21124,12.5,7.87,0.0,0.524,5.631,100.0,,,311.0,15.2,386.63,29.93,16.5
0.21124,12.5,7.87,0.0,0.524,5.631,100.0,6.0821,,311.0,,386.63,29.93,16.5
0.21124,12.5,7.87,0.0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,,29.93,16.5
0.03237,,2.18,0.0,,6.998,,6.0622,3.0,,18.7,,2.94,
,0.0,2.18,,,,54.2,6.0622,,222.0,18.7,396.9,5.33,36.2
,0.0,2.18,0.0,,,58.7,6.0622,3.0,,,394.12,5.21,28.7
0.08829,12.5,,0.0,0.524,6.012,,5.5605,5.0,311.0,15.2,395.6,12.43,22.9
0.14455,12.5,7.87,0.0,0.524,6.172,96.1,5.9505,5.0,311.0,15.2,396.9,,27.1
0.21124,12.5,7.87,0.0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,16.5
0.17004,12.5,7.87,0.0,0.524,,85.9,6.5921,5.0,311.0,,,17.1,18.9
0.22489,12.5,7.87,0.0,0.524,6.377,94.3,6.3467,5.0,311.0,15.2,,20.45,15.0
0.11747,12.5,7.87,0.0,0.524,6.009,82.9,6.2267,5.0,311.0,15.2,,13.27,18.9
0.09378,12.5,7.87,0.0,0.524,5.889,,5.4509,5.0,311.0,,390.5,15.71,21.7
0.62976,0.0,8.14,0.0,0.538,5.949,61.8,4.7075,4.0,307.0,21.0,396.9,8.26,20.4
,,8.14,0.0,0.538,6.096,84.5,4.4619,4.0,307.0,21.0,380.02,,18.2
0.62739,0.0,8.14,0.0,0.538,,56.5,4.4986,4.0,307.0,21.0,395.62,8.47,19.9
1.05393,0.0,8.14,0.0,0.538,5.935,29.3,4.4986,4.0,307.0,21.0,386.85,6.58,
0.21124,12.5,7.87,0.0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,16.5
0.80271,0.0,8.14,0.0,0.538,5.456,36.6,3.7965,4.0,307.0,21.0,288.99,11.69,
0.7258,0.0,8.14,0.0,0.538,5.727,69.5,3.7965,4.0,,21.0,390.95,11.28,18.2
1.25179,0.0,8.14,0.0,0.538,5.57,98.1,3.7979,,307.0,21.0,376.57,21.02,13.6
0.85204,0.0,8.14,0.0,0.538,5.965,89.2,4.0123,4.0,307.0,21.0,392.53,,19.6
1.23247,0.0,8.14,0.0,,,,,4.0,307.0,21.0,396.9,18.72,15.2
0.98843,0.0,,0.0,,5.813,100.0,4.0952,4.0,307.0,21.0,394.54,,14.5
0.75026,0.0,8.14,,0.538,5.924,,4.3996,,307.0,21.0,,16.3,15.6
0.84054,,8.14,0.0,0.538,,85.7,4.4546,4.0,307.0,21.0,303.42,,13.9
